token	score	notes
🤷	-0.1	shrug
😏	0.2	smirking
😅	0.3	sweat smile (relieved)
😬	-0.3	grimace
🤡	-0.5	clown (insult slang)
😴	-0.2	sleepy (boredom)
🤤	0.4	drooling (desire)
🥵	0.2	hot face
🥶	-0.3	cold face
😬	-0.3	grimace
🤯	0.4	mind blown (excited)
😈	0.2	smiling devil
😼	0.2	cat smirk
🤓	0.2	nerd
🥱	-0.4	yawning (bored)
🫶	0.9	heart hands
🫠	-0.2	melting face
🥲	-0.3	smiling tear
curtindo	0.7	gerund of curtir (enjoying)
curte	0.6	informal positive
curtir	0.7	verb base
curtiu	0.7	past 3rd
curti	0.8	past 1st (already)
amando	0.9	gerund of amar
ameio	0.9	informal variant
amooo	1.0	emphatic
amor	0.7	noun love
amora	0.5	endearment
rainha	0.8	queen (positive informal)
rei	0.6	king (positive informal)
gata	0.6	attractive (positive br slang)
gato	0.6	attractive (positive br slang)
piriguete	0.0	context neutral
fera	0.7	great (informal)
genial	0.8	brilliant
genio	0.8	genius
musa	0.6	muse (positive)
deusa	0.8	goddess (positive)
deus	0.4	god (often emphatic positive)
mara	0.9	short for maravilhoso
maraaa	0.9	emphatic variant
zica	0.5	good vibes slang
zueira	0.3	joking (mildly positive)
zoeira	0.3	joking
tristinho	-0.6	mild sad diminutive
tristinha	-0.6	mild sad diminutive
perdi	-0.5	i lost (negative)
perdeu	-0.5	lost (negative)
perdendo	-0.5	losing
perdedor	-0.7	loser
ganhei	0.7	won (positive)
ganhou	0.7	won (positive)
ganhamos	0.7	we won
vencemos	0.7	we won
vencer	0.6	to win
vitoria	0.8	victory
derrota	-0.8	defeat
fome	-0.3	hungry (mild negative)
cansaço	-0.5	tired noun
cansado	-0.6	tired
cansada	-0.6	tired
exausto	-0.7	exhausted
exausta	-0.7	exhausted
saudade	0.3	missing (Brazilian-specific mild positive)
saudades	0.3	missing
prazer	0.7	pleasure
delicia	0.9	delicious
delicioso	0.9	delicious
deliciosa	0.9	delicious
gostoso	0.8	tasty
gostosa	0.8	tasty
chega	-0.3	enough (impatience)
chega de	-0.5	enough of (negative)
pqp	-0.4	exasperation
vsf	-0.7	go away (strong negative)
caralho	-0.3	expletive (context)
fudeu	-0.7	screwed
ferrou	-0.7	screwed
